,Unnamed: 0,region_1,date,retail_recreation,grocery_pharmacy,parks,transit,workplaces,residential,s_d_score
235,17135,Manitoba,2020-03-19,52.87356321839079,72.11538461538461,12.840466926070041,29.761904761904763,61.79775280898877,45.714285714285715,58.56221869989042
236,17136,Manitoba,2020-03-20,50.574712643678154,68.26923076923077,11.284046692607005,32.142857142857146,57.30337078651685,48.57142857142856,55.40149260132709
237,17137,Manitoba,2020-03-21,34.48275862068965,51.92307692307693,13.618677042801561,38.095238095238095,65.1685393258427,40.0,49.003975841396
238,17138,Manitoba,2020-03-22,27.586206896551722,40.38461538461538,17.12062256809339,27.380952380952383,56.179775280898866,34.285714285714285,39.79031618509779
239,17139,Manitoba,2020-03-23,39.080459770114935,50.0,22.178988326848252,22.61904761904762,47.19101123595505,54.28571428571429,44.91011464341253
240,17140,Manitoba,2020-03-24,34.48275862068965,50.0,10.894941634241247,19.047619047619047,44.9438202247191,60.0,38.82229913936758
241,17141,Manitoba,2020-03-25,34.48275862068965,47.11538461538461,15.953307392996111,19.047619047619047,43.82022471910112,60.0,39.11593947956571
242,17142,Manitoba,2020-03-26,36.78160919540229,53.84615384615385,16.34241245136187,15.476190476190476,43.82022471910112,62.857142857142854,41.73424861259835
243,17143,Manitoba,2020-03-27,40.22988505747126,55.769230769230774,17.898832684824907,19.047619047619047,42.69662921348314,62.857142857142854,44.26024726351554
244,17144,Manitoba,2020-03-28,33.33333333333333,48.07692307692308,19.844357976653697,27.380952380952383,55.05617977528089,42.857142857142854,44.81592409161427
245,17145,Manitoba,2020-03-29,29.885057471264364,40.38461538461538,19.844357976653697,20.238095238095237,51.685393258426956,37.142857142857146,38.77353822531441
246,17146,Manitoba,2020-03-30,42.5287356321839,49.03846153846154,24.902723735408564,19.047619047619047,39.32584269662921,57.14285714285714,43.69550663118016
247,17147,Manitoba,2020-03-31,44.82758620689655,56.730769230769226,24.124513618677042,17.857142857142858,39.32584269662921,60.0,46.77225418761488
248,17148,Manitoba,2020-04-01,33.33333333333333,47.11538461538461,14.007782101167319,13.095238095238097,37.078651685393254,62.857142857142854,35.43788841977953
